Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,0.004420,0.005184,0.004417,0.005149,0.005149,9
2021-10-06,0.005151,0.006113,0.005049,0.006094,0.006094,0
2021-10-07,0.006090,0.006090,0.004817,0.004842,0.004842,22
2021-10-08,0.004843,0.006152,0.004832,0.005935,0.005935,0
2021-10-09,0.005936,0.006077,0.003830,0.005496,0.005496,65
2021-10-10,0.005497,0.005640,0.005426,0.005481,0.005481,0
2021-10-11,0.005477,0.005779,0.005452,0.005746,0.005746,0
2021-10-12,0.005748,0.005753,0.003269,0.003364,0.003364,11
2021-10-13,0.003362,0.004038,0.003278,0.004019,0.004019,0
2021-10-14,0.004018,0.004094,0.003436,0.003440,0.003440,7
2021-10-15,0.003439,0.005648,0.003412,0.005546,0.005546,0
2021-10-16,0.005543,0.005605,0.005419,0.005480,0.005480,0
2021-10-17,0.005480,0.005548,0.005325,0.005541,0.005541,0
2021-10-18,0.005540,0.005635,0.005401,0.005582,0.005582,0
2021-10-19,0.005582,0.005799,0.005546,0.005783,0.005783,2
2021-10-20,0.005786,0.006024,0.005725,0.005940,0.005940,0
2021-10-21,0.005939,0.005994,0.004348,0.004355,0.004355,0
2021-10-22,0.004357,0.005519,0.004209,0.005463,0.005463,2
2021-10-23,0.005462,0.005557,0.005384,0.005525,0.005525,0
2021-10-24,0.005523,0.005536,0.005368,0.005486,0.005486,0
2021-10-25,0.005484,0.005666,0.004381,0.004413,0.004413,0
2021-10-26,0.004412,0.004426,0.004199,0.004224,0.004224,0
2021-10-27,0.004225,0.004300,0.003497,0.003511,0.003511,5
2021-10-28,0.003509,0.003728,0.003492,0.003637,0.003637,0
2021-10-29,0.003637,0.003776,0.003621,0.003735,0.003735,0
2021-10-30,0.003734,0.003740,0.003655,0.003705,0.003705,0
2021-10-31,0.003713,0.003744,0.003604,0.003679,0.003679,0
2021-11-01,0.003679,0.006239,0.003582,0.006100,0.006100,7
2021-11-02,0.006096,0.007067,0.006067,0.006955,0.006955,55
2021-11-03,0.006958,0.006987,0.003767,0.003778,0.003778,5
2021-11-04,0.003778,0.004306,0.003648,0.004303,0.004303,0
2021-11-05,0.004302,0.004378,0.004259,0.004278,0.004278,0
2021-11-06,0.004275,0.004311,0.004212,0.004308,0.004308,0
2021-11-07,0.004309,0.005063,0.004300,0.005063,0.005063,1
2021-11-08,0.005068,0.005413,0.005068,0.005406,0.005406,0
2021-11-09,0.005404,0.010848,0.005379,0.010051,0.010051,149
2021-11-10,0.010046,0.043545,0.009948,0.042191,0.042191,1733
2021-11-11,0.042247,0.042296,0.014904,0.026580,0.026580,199
2021-11-12,0.026629,0.026839,0.009559,0.009638,0.009638,4
2021-11-13,0.009623,0.015484,0.008863,0.015475,0.015475,2
2021-11-14,0.015469,0.026028,0.014639,0.025531,0.025531,4
2021-11-15,0.025553,0.025739,0.018448,0.018462,0.018462,5
2021-11-16,0.018432,0.018479,0.017115,0.017464,0.017464,0
2021-11-17,0.017447,0.017639,0.016969,0.017498,0.017498,2
2021-11-18,0.017507,0.017660,0.016400,0.016509,0.016509,6
2021-11-19,0.016513,0.022355,0.008622,0.019188,0.019188,3
2021-11-20,0.019179,0.019483,0.008620,0.017915,0.017915,1
2021-11-21,0.017909,0.017933,0.008793,0.008798,0.008798,1
2021-11-22,0.008810,0.008890,0.008352,0.008452,0.008452,1
2021-11-23,0.008443,0.008645,0.007967,0.008064,0.008064,0
